id_batalha,data,tempo_de_batalha,torres_derrubadas_jogador1,torres_derrubadas_jogador2,vencedor,deck_jogador1,deck_jogador2,trofeus_jogador1,trofeus_jogador2
1,2023-10-23 18:28:15.100355,3.96,3,1,Player0478,"P.E.K.K.A, Coletor de Elixir, Relâmpago, Torre Inferno, Golem, Descarga, Dragão Bebê, Zap","Mega Servo, Coletor de Elixir, Golem, Torre de Bombas, Bola de Fogo, Príncipe, Fúria, Cabana de Goblins",4269,4280
2,2023-03-31 21:13:29.801591,4.79,0,3,Player0885,"Torre de Bombas, Golem, Canhão, Coletor de Elixir, Fornalha, Dragão Bebê, Mega Servo, Lápide","Gigante, Cavaleiro, Tornado, Corredor, Cabana de Goblins, Veneno, Bárbaros, Torre Inferno",5195,4304
3,2023-05-15 02:42:26.624970,1.71,2,1,Player0256,"Cabana de Goblins, Príncipe, Fúria, Lápide, Mago de Gelo, Tornado, Coletor de Elixir, Bola de Fogo","Cabana de Bárbaros, Fornalha, Mago de Gelo, Torre Inferno, Fúria, Zap, P.E.K.K.A, Veneno",2918,3014
4,2023-02-14 00:24:32.582104,4.37,1,2,Player0885,"Gigante, Cavaleiro, Tornado, Corredor, Cabana de Goblins, Veneno, Bárbaros, Torre Inferno","Mago, Descarga, Bruxa, Coletor de Elixir, Fúria, Bárbaros, Mini P.E.K.K.A, Bola de Fogo",4304,5297
5,2023-04-25 20:20:54.409407,4.32,1,2,Player0917,"Arqueiras, Cabana de Goblins, Corredor, Veneno, Coletor de Elixir, Dragão Bebê, Mega Servo, Fúria","Coletor de Elixir, Torre de Bombas, Corredor, Torre Inferno, P.E.K.K.A, Descarga, Relâmpago, Lápide",4525,5043
6,2023-03-04 09:56:27.184916,3.53,0,3,Player0356,"Canhão, P.E.K.K.A, Relâmpago, Fúria, Bola de Fogo, Cavaleiro, Cabana de Goblins, Executor","Torre Inferno, Zap, Cabana de Bárbaros, Lápide, Gigante, Relâmpago, Coletor de Elixir, Tornado",5972,3390
7,2023-05-03 23:52:44.629545,4.69,1,3,Player0331,"Príncipe, Corredor, Mega Servo, Mini P.E.K.K.A, Arqueiras, Cavaleiro, Coletor de Elixir, Cabana de Goblins","Torre Inferno, Coletor de Elixir, Veneno, Executor, Tornado, Dragão Bebê, Mega Servo, Cabana de Goblins",5617,2078
8,2023-09-09 03:28:34.237293,2.6,2,1,Player0804,"Bruxa, Zap, Fúria, Arqueiras, Cavaleiro, Torre de Bombas, Corredor, Mini P.E.K.K.A","Torre de Bombas, Cavaleiro, Tornado, Corredor, Bola de Fogo, Descarga, Arqueiras, Fúria",4765,3881
9,2023-08-15 20:53:30.906991,3.36,0,1,Player0824,"Dragão Bebê, Fúria, Corredor, Mago, Torre de Bombas, Príncipe, Cavaleiro, Golem","Tornado, Bola de Fogo, Arqueiras, Cavaleiro, Mega Servo, Príncipe, Fornalha, Torre de Bombas",4083,4440
10,2023-10-08 06:48:52.427611,3.22,1,1,Player0479,"Zap, Príncipe, Corredor, Dragão Bebê, Gigante, Cavaleiro, Canhão, Cabana de Goblins","Torre Inferno, Dragão Bebê, Golem, Fornalha, Zap, Mosqueteira, Torre de Bombas, Arqueiras",2377,4894
11,2023-09-03 17:23:49.065218,4.04,1,2,Player0867,"Arqueiras, Fúria, Mini P.E.K.K.A, Mosqueteira, Corredor, Mago, Descarga, Lápide","Bola de Fogo, Canhão, Golem, Torre de Bombas, Cabana de Bárbaros, Cabana de Goblins, Fornalha, Cavaleiro",5302,5111
12,2023-08-24 16:59:47.297181,2.77,0,1,Player0259,"Descarga, Mega Servo, Mago, Bruxa, Coletor de Elixir, Dragão Bebê, Tornado, P.E.K.K.A","Tornado, Mosqueteira, Coletor de Elixir, Relâmpago, Golem, Executor, Fúria, Príncipe",3067,5455
13,2023-07-21 20:22:52.582135,1.71,3,2,Player0187,"Mega Servo, Príncipe, Mago, Gigante, Corredor, Fornalha, Torre Inferno, Relâmpago","P.E.K.K.A, Mini P.E.K.K.A, Bruxa, Príncipe, Golem, Gigante, Canhão, Cabana de Goblins",5528,4142
14,2023-06-19 15:48:16.805885,3.33,1,1,Player0241,"Executor, Bárbaros, Mago, P.E.K.K.A, Torre Inferno, Bruxa, Descarga, Príncipe","Cabana de Bárbaros, P.E.K.K.A, Arqueiras, Cabana de Goblins, Golem, Príncipe, Tornado, Canhão",5384,2321
15,2023-08-21 01:38:31.796993,2.46,2,2,Player0344,"P.E.K.K.A, Descarga, Zap, Canhão, Mago, Corredor, Mosqueteira, Golem","Bruxa, Mini P.E.K.K.A, Golem, Mega Servo, Mago de Gelo, Torre de Bombas, Fúria, Arqueiras",2894,4724
16,2023-08-07 22:25:05.180909,4.21,1,0,Player0390,"Cabana de Goblins, P.E.K.K.A, Fúria, Zap, Mini P.E.K.K.A, Corredor, Veneno, Dragão Bebê","Executor, Bruxa, Zap, Mega Servo, Cabana de Goblins, Dragão Bebê, Gigante, P.E.K.K.A",4283,5550
17,2023-02-11 02:41:22.773923,3.0,1,1,Player0042,"Mago, Cavaleiro, Mago de Gelo, Arqueiras, Dragão Bebê, Relâmpago, Executor, Cabana de Goblins","Bruxa, Mini P.E.K.K.A, Príncipe, Relâmpago, Mago, Lápide, Dragão Bebê, Zap",5586,3054
18,2023-06-21 23:41:35.737230,3.79,1,0,Player0342,"P.E.K.K.A, Descarga, Tornado, Príncipe, Lápide, Bruxa, Torre Inferno, Mini P.E.K.K.A","Mago de Gelo, Fúria, Mosqueteira, Descarga, Mega Servo, Torre de Bombas, Coletor de Elixir, Dragão Bebê",5687,5809
19,2023-12-22 20:21:06.995590,2.02,1,1,Player0299,"Arqueiras, Coletor de Elixir, Mosqueteira, Mega Servo, Lápide, Bola de Fogo, Torre de Bombas, Corredor","Dragão Bebê, Mago, Canhão, Mini P.E.K.K.A, Tornado, Lápide, Mega Servo, Golem",5998,5067
20,2023-04-25 19:46:34.662955,4.87,0,3,Player0266,"Executor, Bruxa, Mega Servo, Torre de Bombas, Fornalha, P.E.K.K.A, Mosqueteira, Bola de Fogo","Veneno, Coletor de Elixir, Lápide, Bárbaros, Gigante, Canhão, Torre Inferno, Mago",4400,3598
21,2023-06-18 06:25:17.668935,4.5,2,0,Player0706,"Torre Inferno, Tornado, Gigante, Veneno, Fúria, Mago de Gelo, Corredor, Mega Servo","Cabana de Bárbaros, Lápide, Gigante, Descarga, Relâmpago, Mini P.E.K.K.A, Bruxa, Bárbaros",2582,2817
22,2023-07-10 15:53:16.473366,4.89,2,3,Player0009,"Arqueiras, Coletor de Elixir, Mosqueteira, Mega Servo, Lápide, Bola de Fogo, Torre de Bombas, Corredor","Mago de Gelo, Golem, Canhão, Gigante, Mosqueteira, Bárbaros, Torre Inferno, Fornalha",5998,3435
23,2023-12-03 23:46:22.798435,2.19,2,1,Player0641,"Mini P.E.K.K.A, P.E.K.K.A, Lápide, Cavaleiro, Fornalha, Zap, Bola de Fogo, Canhão","Lápide, P.E.K.K.A, Cabana de Goblins, Mini P.E.K.K.A, Bruxa, Descarga, Fúria, Torre de Bombas",2210,3369
24,2023-01-06 09:39:54.695211,3.17,2,2,Player0327,"Executor, Relâmpago, Gigante, Corredor, Mega Servo, Descarga, Fúria, Cabana de Bárbaros","Lápide, Bárbaros, Relâmpago, Descarga, Arqueiras, Torre de Bombas, Corredor, Tornado",3527,2338
