id_batalha,tempo_de_batalha,torres_derrubadas_jogador1,torres_derrubadas_jogador2,vencedor,deck_jogador1,deck_jogador2,trofeus_jogador1,trofeus_jogador2
1,5,1,3,Jogador_35,"Mini P.E.K.K.A, Gigante, P.E.K.K.A, Foguete, Golem, Cavalaria, Dragão, Arqueiras","Cavalaria, Bárbaros, Golem, Arqueiras, P.E.K.K.A, Foguete, Mini P.E.K.K.A, Canhão",2879,3318
2,6,0,2,Jogador_132,"Mini P.E.K.K.A, Mago, Golem, Cavalaria, Bola de Fogo, Dragão, Arqueiras, Gigante","Foguete, Bárbaros, Dragão, P.E.K.K.A, Bola de Fogo, Cavalaria, Mini P.E.K.K.A, Canhão",2913,2680
3,4,2,0,Jogador_921,"Bárbaros, Cura, Bola de Fogo, Gigante, Arqueiras, Cavalaria, Foguete, P.E.K.K.A","Cavalaria, Bola de Fogo, Foguete, Arqueiras, Mago, Cura, Bárbaros, Gigante",2399,2027
4,8,2,2,Jogador_216,"Gigante, Cavalaria, Mini P.E.K.K.A, Foguete, P.E.K.K.A, Arqueiras, Bárbaros, Golem","Canhão, Gigante, Cura, Cavalaria, P.E.K.K.A, Mago, Bola de Fogo, Golem",208,2455
5,7,0,3,Jogador_521,"Gigante, Canhão, Bola de Fogo, Foguete, Bárbaros, Mago, P.E.K.K.A, Golem","Mini P.E.K.K.A, Mago, P.E.K.K.A, Dragão, Gigante, Cura, Arqueiras, Foguete",3617,2575
6,8,1,1,Jogador_212,"Bárbaros, Foguete, Dragão, Gigante, Cavalaria, Cura, Golem, Canhão","Cavalaria, Cura, Arqueiras, P.E.K.K.A, Mini P.E.K.K.A, Golem, Dragão, Gigante",1049,1071
7,10,0,2,Jogador_443,"Gigante, Bárbaros, Golem, Mini P.E.K.K.A, Arqueiras, Bola de Fogo, Foguete, Mago","Arqueiras, Foguete, Mago, Dragão, P.E.K.K.A, Canhão, Bárbaros, Gigante",497,4843
8,6,0,2,Jogador_544,"P.E.K.K.A, Gigante, Canhão, Bárbaros, Cavalaria, Golem, Arqueiras, Cura","Mini P.E.K.K.A, Golem, Arqueiras, Gigante, Canhão, Cura, P.E.K.K.A, Foguete",3334,4944
9,8,3,2,Jogador_425,"Bola de Fogo, Bárbaros, P.E.K.K.A, Golem, Canhão, Mini P.E.K.K.A, Gigante, Cavalaria","Mago, Gigante, Bárbaros, Arqueiras, Mini P.E.K.K.A, P.E.K.K.A, Dragão, Bola de Fogo",625,556
10,7,2,3,Jogador_291,"Bola de Fogo, Bárbaros, Cavalaria, Mago, Golem, Gigante, Foguete, Cura","Bárbaros, Foguete, Dragão, Gigante, Cavalaria, Cura, Golem, Canhão",2968,1990
11,6,1,1,Jogador_430,"Gigante, P.E.K.K.A, Cura, Mini P.E.K.K.A, Bárbaros, Dragão, Cavalaria, Foguete","Bárbaros, Gigante, Bola de Fogo, Foguete, Mini P.E.K.K.A, Canhão, Cavalaria, Golem",3749,483
12,10,0,2,Jogador_784,"Mago, Dragão, Golem, Foguete, Bola de Fogo, Canhão, Arqueiras, Cavalaria","Gigante, P.E.K.K.A, Cura, Mini P.E.K.K.A, Bárbaros, Dragão, Cavalaria, Foguete",2651,402
13,6,2,0,Jogador_459,"Arqueiras, Gigante, Dragão, Cavalaria, Bola de Fogo, Bárbaros, Golem, Cura","Golem, Arqueiras, Mini P.E.K.K.A, Gigante, Foguete, Canhão, Bola de Fogo, Mago",836,4005
14,4,2,3,Jogador_195,"P.E.K.K.A, Foguete, Mini P.E.K.K.A, Dragão, Cavalaria, Golem, Cura, Gigante","Dragão, Mago, Foguete, Arqueiras, P.E.K.K.A, Canhão, Bárbaros, Cavalaria",1830,4037
15,3,2,3,Jogador_166,"Bárbaros, Cura, Mago, Arqueiras, Dragão, P.E.K.K.A, Canhão, Foguete","Bárbaros, Golem, Cura, Mago, Foguete, Cavalaria, Dragão, Gigante",3510,1458
16,5,0,1,Jogador_198,"Bárbaros, Arqueiras, Golem, Canhão, Cura, Bola de Fogo, Dragão, Mago","Foguete, Dragão, Cavalaria, Canhão, P.E.K.K.A, Mago, Golem, Cura",2941,4082
17,8,2,3,Jogador_740,"Foguete, Bárbaros, Mini P.E.K.K.A, Canhão, Cura, Bola de Fogo, P.E.K.K.A, Gigante","Foguete, Golem, Cavalaria, Bárbaros, Bola de Fogo, Dragão, Mini P.E.K.K.A, P.E.K.K.A",1683,1329
18,3,0,3,Jogador_833,"Foguete, Dragão, Bárbaros, Gigante, Mini P.E.K.K.A, P.E.K.K.A, Golem, Arqueiras","P.E.K.K.A, Mini P.E.K.K.A, Foguete, Golem, Mago, Bárbaros, Cavalaria, Cura",1155,3301
19,6,0,2,Jogador_98,"Gigante, Cavalaria, Golem, Mago, Dragão, Mini P.E.K.K.A, Foguete, Cura","Mago, Gigante, P.E.K.K.A, Mini P.E.K.K.A, Bárbaros, Golem, Cura, Arqueiras",439,4063
20,7,0,3,Jogador_72,"Dragão, Arqueiras, Golem, Mini P.E.K.K.A, Mago, Bárbaros, P.E.K.K.A, Canhão","P.E.K.K.A, Gigante, Dragão, Bola de Fogo, Mini P.E.K.K.A, Canhão, Cura, Bárbaros",2840,4519
21,9,1,2,Jogador_368,"P.E.K.K.A, Mini P.E.K.K.A, Foguete, Gigante, Arqueiras, Cura, Dragão, Cavalaria","Foguete, Dragão, Gigante, Golem, Mini P.E.K.K.A, Canhão, Mago, Bárbaros",3605,102
22,10,0,2,Jogador_218,"Mago, Arqueiras, Bola de Fogo, Foguete, Cavalaria, Dragão, Gigante, Bárbaros","Bola de Fogo, Gigante, Cura, Arqueiras, Golem, Canhão, Mini P.E.K.K.A, Cavalaria",3640,1914
23,7,0,3,Jogador_318,"Bola de Fogo, Mini P.E.K.K.A, Arqueiras, Cavalaria, Bárbaros, Golem, Canhão, Cura","P.E.K.K.A, Canhão, Foguete, Mago, Gigante, Bola de Fogo, Cura, Golem",2561,1689
24,4,2,3,Jogador_916,"Arqueiras, Mini P.E.K.K.A, Gigante, Golem, Cura, Dragão, Canhão, Cavalaria","P.E.K.K.A, Cavalaria, Bárbaros, Gigante, Arqueiras, Golem, Mini P.E.K.K.A, Dragão",4594,778
25,10,1,0,Jogador_91,"Cavalaria, Canhão, Gigante, Mago, Golem, Dragão, P.E.K.K.A, Cura","Dragão, Gigante, Cura, Golem, Bola de Fogo, Cavalaria, Foguete, Arqueiras",3393,4370
26,5,1,2,Jogador_706,"Mini P.E.K.K.A, Cura, Dragão, Mago, Cavalaria, Gigante, Canhão, Bárbaros","Mago, Cura, Canhão, Foguete, P.E.K.K.A, Mini P.E.K.K.A, Dragão, Gigante",3569,3111
27,3,1,1,Jogador_557,"Bola de Fogo, Mini P.E.K.K.A, Arqueiras, Cavalaria, Bárbaros, Golem, Canhão, Cura","Bola de Fogo, P.E.K.K.A, Canhão, Gigante, Foguete, Arqueiras, Cavalaria, Cura",2287,293
28,7,1,3,Jogador_358,"P.E.K.K.A, Canhão, Dragão, Cavalaria, Cura, Golem, Arqueiras, Bola de Fogo","Mago, Gigante, Bola de Fogo, Arqueiras, Dragão, P.E.K.K.A, Bárbaros, Foguete",3000,4578
29,9,1,3,Jogador_624,"Dragão, Foguete, Mago, Gigante, Bola de Fogo, Cavalaria, Cura, Arqueiras","Bola de Fogo, Bárbaros, P.E.K.K.A, Golem, Canhão, Mini P.E.K.K.A, Gigante, Cavalaria",1963,3402
30,8,1,1,Jogador_771,"P.E.K.K.A, Bárbaros, Golem, Foguete, Cavalaria, Mago, Cura, Arqueiras","Golem, Bola de Fogo, Canhão, Mago, Gigante, Mini P.E.K.K.A, Arqueiras, Dragão",2460,3141
31,6,3,2,Jogador_933,"Mini P.E.K.K.A, Bárbaros, Dragão, Canhão, P.E.K.K.A, Golem, Arqueiras, Cavalaria","Bárbaros, Cavalaria, Bola de Fogo, P.E.K.K.A, Cura, Mago, Foguete, Mini P.E.K.K.A",812,4150
32,10,1,2,Jogador_138,"Bárbaros, Mini P.E.K.K.A, Dragão, Bola de Fogo, Foguete, Golem, Cavalaria, Mago","Golem, P.E.K.K.A, Dragão, Bola de Fogo, Canhão, Gigante, Arqueiras, Cura",3507,1398
33,10,2,2,Jogador_814,"Gigante, Bárbaros, Mini P.E.K.K.A, Canhão, Dragão, P.E.K.K.A, Arqueiras, Golem","Gigante, Bárbaros, Mini P.E.K.K.A, Canhão, Dragão, P.E.K.K.A, Arqueiras, Golem",2045,1808
34,10,0,2,Jogador_323,"Mini P.E.K.K.A, Dragão, Golem, Arqueiras, Bárbaros, Bola de Fogo, Cura, Mago","Cavalaria, Gigante, Canhão, Golem, Mago, Mini P.E.K.K.A, Bárbaros, Dragão",30,4345
35,7,1,3,Jogador_263,"Dragão, Mini P.E.K.K.A, Arqueiras, Bárbaros, Golem, Gigante, Canhão, Mago","Foguete, P.E.K.K.A, Bola de Fogo, Mago, Mini P.E.K.K.A, Bárbaros, Dragão, Arqueiras",4740,1335
