nickname,tempo_de_jogo,trofeus,nivel,deck
Jogador_1,115.5,2562,5,"Cura, Foguete, Canhão, Gigante, Arqueiras, P.E.K.K.A, Bárbaros, Golem"
Jogador_2,241.69,3043,12,"P.E.K.K.A, Arqueiras, Cavalaria, Mini P.E.K.K.A, Foguete, Bárbaros, Gigante, Canhão"
Jogador_3,263.92,3925,4,"Bola de Fogo, Mago, Mini P.E.K.K.A, Cavalaria, P.E.K.K.A, Arqueiras, Canhão, Gigante"
Jogador_4,371.11,226,1,"Bola de Fogo, Arqueiras, Canhão, Mini P.E.K.K.A, Mago, Cavalaria, Bárbaros, Gigante"
Jogador_5,393.84,2991,3,"Bárbaros, Golem, Mini P.E.K.K.A, Cavalaria, Cura, Dragão, P.E.K.K.A, Foguete"
Jogador_6,424.57,117,7,"Golem, Dragão, Cura, Foguete, Gigante, Mini P.E.K.K.A, Bola de Fogo, Bárbaros"
Jogador_7,88.38,183,4,"Mago, Gigante, Canhão, Cura, Golem, Dragão, Bárbaros, Arqueiras"
Jogador_8,132.57,135,1,"Bárbaros, Canhão, Arqueiras, Gigante, Bola de Fogo, Cavalaria, P.E.K.K.A, Foguete"
Jogador_9,141.63,3312,8,"Bola de Fogo, Bárbaros, Gigante, Foguete, P.E.K.K.A, Golem, Arqueiras, Mini P.E.K.K.A"
Jogador_10,300.26,470,5,"Cura, Arqueiras, Golem, Gigante, Dragão, Foguete, Canhão, Bárbaros"
Jogador_11,57.15,1852,12,"Gigante, Foguete, Dragão, Canhão, Bárbaros, Mini P.E.K.K.A, Arqueiras, Cura"
Jogador_12,170.97,1311,10,"Mago, Cura, Golem, Mini P.E.K.K.A, Foguete, Gigante, P.E.K.K.A, Cavalaria"
Jogador_13,408.77,4140,10,"Golem, Mini P.E.K.K.A, Cavalaria, Arqueiras, Bola de Fogo, Mago, Canhão, Bárbaros"
Jogador_14,189.41,4319,10,"Cavalaria, Bola de Fogo, P.E.K.K.A, Bárbaros, Cura, Golem, Gigante, Mini P.E.K.K.A"
Jogador_15,346.92,623,13,"Foguete, Gigante, Dragão, Arqueiras, Bárbaros, Mini P.E.K.K.A, P.E.K.K.A, Bola de Fogo"
Jogador_16,319.37,3417,8,"Bárbaros, P.E.K.K.A, Canhão, Mini P.E.K.K.A, Cavalaria, Arqueiras, Cura, Bola de Fogo"
Jogador_17,176.7,3804,13,"Golem, Mago, P.E.K.K.A, Dragão, Canhão, Bárbaros, Cavalaria, Arqueiras"
Jogador_18,396.12,800,1,"Arqueiras, Cavalaria, Foguete, Canhão, Mini P.E.K.K.A, Golem, Dragão, Gigante"
Jogador_19,421.6,3147,13,"Gigante, Golem, Canhão, Cura, Cavalaria, Foguete, Mini P.E.K.K.A, Mago"
Jogador_20,234.67,4749,6,"Mini P.E.K.K.A, P.E.K.K.A, Golem, Dragão, Gigante, Foguete, Mago, Cavalaria"
Jogador_21,261.64,2750,1,"Arqueiras, Gigante, Mini P.E.K.K.A, Bola de Fogo, Golem, Mago, Dragão, Bárbaros"
Jogador_22,139.72,4930,11,"Gigante, Cura, Golem, Foguete, Mini P.E.K.K.A, Canhão, Bárbaros, Bola de Fogo"
Jogador_23,347.65,4542,1,"Gigante, Dragão, Canhão, Cavalaria, Mini P.E.K.K.A, P.E.K.K.A, Bárbaros, Cura"
Jogador_24,190.84,2932,10,"Mini P.E.K.K.A, Mago, Gigante, Bárbaros, Dragão, P.E.K.K.A, Foguete, Canhão"
Jogador_25,288.77,4074,8,"Mini P.E.K.K.A, Foguete, Gigante, Cura, Mago, Cavalaria, Canhão, Bárbaros"
Jogador_26,200.06,2147,9,"P.E.K.K.A, Bola de Fogo, Arqueiras, Golem, Dragão, Canhão, Gigante, Foguete"
Jogador_27,178.0,3919,11,"Golem, Bárbaros, Cura, Bola de Fogo, Gigante, P.E.K.K.A, Foguete, Dragão"
Jogador_28,338.28,647,8,"Cura, Golem, Foguete, Dragão, Gigante, Bola de Fogo, Arqueiras, Bárbaros"
Jogador_29,317.74,772,10,"Cura, Cavalaria, Bárbaros, Foguete, Golem, Bola de Fogo, Mago, Dragão"
Jogador_30,413.64,1327,12,"Bola de Fogo, Canhão, Golem, Arqueiras, Foguete, P.E.K.K.A, Cavalaria, Gigante"
Jogador_31,96.71,4543,11,"Dragão, Cavalaria, Golem, Foguete, Gigante, Cura, Arqueiras, Mini P.E.K.K.A"
Jogador_32,329.85,1511,6,"Arqueiras, Golem, Bárbaros, Mini P.E.K.K.A, Gigante, Canhão, Cura, Foguete"
Jogador_33,223.01,131,1,"P.E.K.K.A, Gigante, Bárbaros, Foguete, Mini P.E.K.K.A, Canhão, Dragão, Bola de Fogo"
Jogador_34,26.35,514,1,"Gigante, Arqueiras, Golem, Dragão, Bola de Fogo, P.E.K.K.A, Cura, Bárbaros"
Jogador_35,11.42,2122,3,"Gigante, Cura, Dragão, Mago, Bárbaros, Foguete, Canhão, Arqueiras"
Jogador_36,27.22,2618,9,"Golem, Mago, Arqueiras, Bárbaros, Cura, Gigante, Dragão, Foguete"
Jogador_37,210.89,3273,11,"P.E.K.K.A, Canhão, Arqueiras, Mago, Dragão, Golem, Cura, Bárbaros"
Jogador_38,73.09,2874,2,"Bárbaros, Cura, Dragão, Arqueiras, Mago, Cavalaria, P.E.K.K.A, Golem"
Jogador_39,429.29,3744,12,"Mago, Arqueiras, Foguete, Gigante, Dragão, Golem, Bárbaros, Bola de Fogo"
Jogador_40,218.83,215,2,"Foguete, Bárbaros, Cura, Canhão, Bola de Fogo, Mago, Mini P.E.K.K.A, Arqueiras"
Jogador_41,209.14,1465,4,"Golem, Bárbaros, Cura, Arqueiras, Mini P.E.K.K.A, P.E.K.K.A, Gigante, Bola de Fogo"
Jogador_42,181.96,773,3,"Cura, Bárbaros, Golem, Dragão, Bola de Fogo, Canhão, Cavalaria, Arqueiras"
Jogador_43,39.08,3753,7,"Cavalaria, Dragão, P.E.K.K.A, Canhão, Mago, Arqueiras, Bárbaros, Bola de Fogo"
Jogador_44,257.13,3204,4,"Bola de Fogo, Mago, Canhão, Gigante, Golem, P.E.K.K.A, Foguete, Mini P.E.K.K.A"
Jogador_45,182.06,3560,10,"Canhão, Gigante, Cura, Mini P.E.K.K.A, Dragão, Bárbaros, Bola de Fogo, Golem"
Jogador_46,146.85,4314,11,"Bola de Fogo, Foguete, Dragão, Cura, P.E.K.K.A, Gigante, Mago, Arqueiras"
Jogador_47,289.64,124,9,"Gigante, Golem, Foguete, Cavalaria, Canhão, Mago, Arqueiras, Mini P.E.K.K.A"
Jogador_48,182.04,1057,10,"Dragão, Mini P.E.K.K.A, P.E.K.K.A, Cura, Bola de Fogo, Canhão, Mago, Golem"
Jogador_49,268.55,3824,4,"Bola de Fogo, Gigante, Golem, Cavalaria, Canhão, Bárbaros, Dragão, Foguete"
Jogador_50,380.65,1289,7,"Cura, Mini P.E.K.K.A, Gigante, Foguete, Cavalaria, Golem, Dragão, Bola de Fogo"
Jogador_51,113.02,1059,7,"Bárbaros, Mini P.E.K.K.A, Dragão, Bola de Fogo, Foguete, Golem, Cavalaria, Mago"
Jogador_52,127.31,4946,10,"Canhão, Dragão, Mini P.E.K.K.A, Cavalaria, Golem, Mago, Arqueiras, Cura"
Jogador_53,367.59,2112,11,"Canhão, Dragão, Cavalaria, Mini P.E.K.K.A, Foguete, P.E.K.K.A, Mago, Gigante"
Jogador_54,263.52,1248,4,"Canhão, Foguete, Golem, Mini P.E.K.K.A, Gigante, P.E.K.K.A, Dragão, Cavalaria"
Jogador_55,494.45,1367,10,"Gigante, Arqueiras, Canhão, Cura, Mago, Dragão, P.E.K.K.A, Mini P.E.K.K.A"
Jogador_56,403.69,3957,1,"Canhão, Dragão, Bola de Fogo, Mago, Mini P.E.K.K.A, Cura, Arqueiras, Cavalaria"
Jogador_57,424.06,3086,11,"Cura, Bola de Fogo, Cavalaria, Bárbaros, P.E.K.K.A, Foguete, Gigante, Dragão"
Jogador_58,341.25,4364,13,"Cavalaria, Bárbaros, Bola de Fogo, P.E.K.K.A, Mago, Gigante, Dragão, Golem"
Jogador_59,107.05,4207,8,"Golem, Gigante, Cura, Cavalaria, Foguete, Mago, P.E.K.K.A, Arqueiras"
Jogador_60,398.72,1872,2,"Mago, Bárbaros, Golem, Foguete, Bola de Fogo, Mini P.E.K.K.A, Canhão, P.E.K.K.A"
Jogador_61,225.67,141,6,"Bola de Fogo, Foguete, Cura, Arqueiras, Bárbaros, Mini P.E.K.K.A, P.E.K.K.A, Dragão"
Jogador_62,467.45,2685,9,"Bárbaros, Bola de Fogo, Foguete, Cavalaria, Mago, Gigante, Mini P.E.K.K.A, Cura"
Jogador_63,213.79,848,4,"Golem, Cavalaria, Gigante, Foguete, Cura, Bárbaros, Mini P.E.K.K.A, Bola de Fogo"
Jogador_64,92.63,3564,3,"P.E.K.K.A, Golem, Canhão, Bola de Fogo, Gigante, Cavalaria, Mini P.E.K.K.A, Cura"
Jogador_65,485.27,4220,6,"Bárbaros, Canhão, Golem, Cura, P.E.K.K.A, Bola de Fogo, Cavalaria, Foguete"
Jogador_66,226.69,3293,5,"P.E.K.K.A, Mago, Bola de Fogo, Mini P.E.K.K.A, Arqueiras, Canhão, Foguete, Bárbaros"
